CÓDIGO,NOMBRE,MODALIDAD,CATEGORIA,DIRECCIÓN,LOCALIDAD,ZONA,PLAZAS,COORDENADAS
UAT00596,Jarauta,Apartamento Turístico,Tercera/1 Llave,Joaquin Jarauta 18 3º D,PAMPLONA,Cuenca de Pamplona,3.0,"(42.8186898, -1.645645)"
UAB00079,Jesús y María,Albergue turístico,del Camino de Santiago,Compañia 4,PAMPLONA,Cuenca de Pamplona,112.0,"(37.1266813, -96.18398210000001)"
UAT00369,Juanito´s Apartments,Apartamento Turístico,Primera/3 Llaves,Calle de la Estafeta 83,PAMPLONA,Cuenca de Pamplona,4.0,"(42.8162419, -1.6412106)"
UAT00668,La Merced,Apartamento Turístico,Tercera/1 Llave,Calle de la Merced 27,PAMPLONA,Cuenca de Pamplona,3.0,"(19.313589, -99.03979249999999)"
UAT00185,"La Montañesa I, II y III",Apartamento Turístico,Segunda/2 Llaves,Calle San Gregorio 2,PAMPLONA,Cuenca de Pamplona,8.0,"(42.4683159, -2.4463872)"
upe00694,La Residencia,Pensión,P*,Bergamín 45 4º Dcha,PAMPLONA,Cuenca de Pamplona,12.0,"(42.8088851, -1.6370921)"
upe00721,La Residencia 2,Pensión,P*,Roncesvalles 2 5º Dcha,PAMPLONA,Cuenca de Pamplona,12.0,"(43.0091774, -1.31951)"
upe00740,La Residencia 3,Pensión,P*,"Iturralde y Suit, 1 1º centro 0",PAMPLONA,Cuenca de Pamplona,9.0,"(42.8113892, -1.6333088)"
UH000930,Landaben,Hotel,2 Estrellas,"Landaben, c/ L 0 s/n",PAMPLONA,Cuenca de Pamplona,25.0,"(42.8085673, -1.6991552)"
UH000360,Leyre,Hotel,3 Estrellas,Calle Leyre 7,PAMPLONA,Cuenca de Pamplona,101.0,"(42.8140501, -1.6391087)"
upe00693,Leyre,Pensión,P**,Fco. Bergamín 5 2º y 3º,PAMPLONA,Cuenca de Pamplona,12.0,"(42.8131699, -1.6418244)"
UAT00218,Leyre,Apartamento Turístico,Primera/3 Llaves,Leyre 24 1º dcha,PAMPLONA,Cuenca de Pamplona,5.0,"(42.8120342, -1.6428475)"
UAT00587,Lindux Apart Pamplona,Apartamento Turístico,Segunda/2 Llaves,Avenida Arostegui 7 2 C,PAMPLONA,Cuenca de Pamplona,3.0,"(42.800656, -1.6695783)"
UH000346,Maisonnave,Hotel,4 Estrellas,Nueva 20,PAMPLONA,Cuenca de Pamplona,271.0,"(40.75857500000001, -73.980023)"
UAT00677,Maitagarri Casco Antiguo,Apartamento Turístico,Segunda/2 Llaves,Recoletas  8 1º A,PAMPLONA,Cuenca de Pamplona,2.0,"(40.4218254, -3.6899761)"
UAT00650,Mañueta,Apartamento Turístico,Tercera/1 Llave,"Mañueta 14 BIS, 3º IZ",PAMPLONA,Cuenca de Pamplona,4.0,"(42.8190154, -1.643505)"
UPE00647,Mari Asun,Pensión,P*,Av. de Pío XII 32,PAMPLONA,Cuenca de Pamplona,11.0,"(42.8063562, -1.6619065)"
UPE00882,Mendi,Pensión,P*,Navas de Tolosa 9 3º Izda,PAMPLONA,Cuenca de Pamplona,8.0,"(40.4190042, -3.7072241)"
UAT00692,Mendillorri,Apartamento Turístico,Segunda/2 Llaves,Concejo de Azpa 8 Bajo A,PAMPLONA,Cuenca de Pamplona,3.0,"(42.8115197, -1.6122213)"
UAT00331,Mercaderes,Apartamento Turístico,Segunda/2 Llaves,Mercaderes 14 4º Exterior Dch,PAMPLONA,Cuenca de Pamplona,2.0,"(42.81861989999999, -1.6427862)"
UPE00717,Mesón del Barro II,Pensión,P**,Calle Sancho Ramírez 3,PAMPLONA,Cuenca de Pamplona,8.0,"(42.8072955, -1.6636688)"
UHS00742,Mesón del Barro III,Hostal,HsG,Calle Sancho Ramirez 13 ,PAMPLONA,Cuenca de Pamplona,7.0,"(41.6323149, -0.8832177)"
UAT00676,Monasterio,Apartamento Turístico,Tercera/1 Llave,Monasterio de la Oliva 58 2ºD,PAMPLONA,Cuenca de Pamplona,6.0,"(42.8151522, -1.6625057)"
UAT00576,Navar,Apartamento Turístico,Tercera/1 Llave,Calle Navarreria 10 5º Dcha,PAMPLONA,Cuenca de Pamplona,2.0,"(42.8191976, -1.6427716)"
UHS00045,Navarra,Hostal,HsG,Tudela 9 2ª,PAMPLONA,Cuenca de Pamplona,25.0,"(42.0613816, -1.6063169)"
UAT00795,Navas I,Apartamento Turístico,Segunda/2 Llaves,Navas de Tolosa  9 3º Dcha,PAMPLONA,"Cuenca de Pamplona, La Ribera",6.0,"(40.4190042, -3.7072241)"
UAT00794,Navas II,Apartamento Turístico,Segunda/2 Llaves,Navas de Tolosa  9 4º Dcha,PAMPLONA,no definida,6.0,"(40.4190042, -3.7072241)"
UH000603,NH Iruña Park,Hotel,4 Estrellas,Arcadio Larraona 1,PAMPLONA,Cuenca de Pamplona,420.0,"(42.8114463, -1.6638476)"
UAT00577,Nicanor 3,Apartamento Turístico,Segunda/2 Llaves,Nicanor Beistegui 3 2º C,PAMPLONA,Cuenca de Pamplona,5.0,"(42.8029016, -1.6705638)"
UAT00579,Nicanor 5,Apartamento Turístico,Segunda/2 Llaves,Nicanor Beistegui 5 4º B,PAMPLONA,Cuenca de Pamplona,5.0,"(42.8027729, -1.6704412)"
UPE00657,Olga,Pensión,P*,Av. de Pío XII 34,PAMPLONA,Cuenca de Pamplona,6.0,"(40.4668743, -3.6742675)"
UAT00564,Olga III,Apartamento Turístico,Segunda/2 Llaves,Travesía Acella 7 5ºC,PAMPLONA,Cuenca de Pamplona,8.0,"(42.8072572, -1.6638035)"
UAT00418,One Minute from Plaza Castillo,Apartamento Turístico,Tercera/1 Llave,Calle Zapatería 42 ,PAMPLONA,Cuenca de Pamplona,4.0,"(42.8173049, -1.6445924)"
UH000852,Palacio de Guendulain,Hotel,4 Estrellas,Calle Zapatería 53,PAMPLONA,Cuenca de Pamplona,52.0,"(42.8165519, -1.6452941)"
UAT00336,Pamplona,Apartamento Turístico,Segunda/2 Llaves,Villava 18 B,PAMPLONA,Cuenca de Pamplona,4.0,"(42.8314377, -1.6123283)"
UPE00825,Pamplona Beds,Pensión,P*,Travesía Acella 3,PAMPLONA,Cuenca de Pamplona,8.0,"(42.8063859, -1.6633542)"
UAT00464,Pamplona City,Apartamento Turístico,Segunda/2 Llaves,Larrabide 9 2Dcha.,PAMPLONA,Cuenca de Pamplona,6.0,"(42.8074875, -1.6369839)"
UAT01107,Pamplona Inn 1,Apartamento Turístico,Tercera/1 Llave,Larraina 9 Bajo 1 D,PAMPLONA,Cuenca de Pamplona,5.0,"(42.81713389999999, -1.6551422)"
UAT01108,Pamplona Inn 2,Apartamento Turístico,Tercera/1 Llave,San Francisco 21 1º,PAMPLONA,Cuenca de Pamplona,7.0,"(37.7749295, -122.4194155)"
UH000736,Pamplona Plaza,Hotel,3 Estrellas,Av. Marcelo Celayeta 35,PAMPLONA,Cuenca de Pamplona,50.0,"(42.826045, -1.6553477)"
UAT00242,Pamplonapartments Mercaderes 1,Apartamento Turístico,Primera/3 Llaves,Mercaderes 18 1º,PAMPLONA,Cuenca de Pamplona,4.0,"(42.8186659, -1.6426578)"
"UAT00242(2,3)","Pamplonapartments Mercaderes 2,3",Apartamento Turístico,Segunda/2 Llaves,Mercaderes 18 2ºy3º,PAMPLONA,Cuenca de Pamplona,8.0,"(42.8186659, -1.6426578)"
UAT00374,Pamplonapartments Mercaderes 4,Apartamento Turístico,Segunda/2 Llaves,Mercaderes 18 3ºDcha,PAMPLONA,Cuenca de Pamplona,4.0,"(42.8186659, -1.6426578)"
UAT00383,Pamplonapartments Mercaderes 5,Apartamento Turístico,Segunda/2 Llaves,Mercaderes 18 4º Izda,PAMPLONA,Cuenca de Pamplona,4.0,"(42.8186659, -1.6426578)"
UAT00384,Pamplonapartments Mercaderes 6,Apartamento Turístico,Segunda/2 Llaves,Mercaderes 18 6º,PAMPLONA,Cuenca de Pamplona,4.0,"(42.8186659, -1.6426578)"
UAT00415,Pamplonapartments Mercaderes 7,Apartamento Turístico,Tercera/1 Llave,Mercaderes 18 5º Izda,PAMPLONA,Cuenca de Pamplona,2.0,"(42.8186659, -1.6426578)"
UAT00416,Pamplonapartments Mercaderes 8,Apartamento Turístico,Primera/3 Llaves,Mercaderes 18 5º Dcha,PAMPLONA,Cuenca de Pamplona,2.0,"(42.8186659, -1.6426578)"
UAT00417,Pamplonapartments Mercaderes 9,Apartamento Turístico,Primera/3 Llaves,Mercaderes 18 2º Dcha,PAMPLONA,Cuenca de Pamplona,4.0,"(42.8186659, -1.6426578)"
UPE00710,Pasadena,Pensión,P*,Av. de Pío XII 32,PAMPLONA,Cuenca de Pamplona,19.0,"(42.8063562, -1.6619065)"
UAT01104,Patio de Gigantes,Apartamento Turístico,Segunda/2 Llaves,Descalzos 70 1º izda,PAMPLONA,Cuenca de Pamplona,2.0,"(42.8188749, -1.6484078)"
UPE00611,Payvi I,Pensión,P*,Av. de Pío XII 41,PAMPLONA,Cuenca de Pamplona,14.0,"(42.8068482, -1.660672)"
UPE00666,Payvi II,Pensión,P*,Av. de Pío XII 24,PAMPLONA,Cuenca de Pamplona,10.0,"(42.8079065, -1.660234)"
UPE00635,Payvi III,Pensión,P*,"Av. de Pío XII, 30",PAMPLONA,Cuenca de Pamplona,8.0,"(40.466666, -3.6744329)"
UAT00721,Pico De Ori,Apartamento Turístico,Tercera/1 Llave,Pico De Ori 8 4º IZ,PAMPLONA,Cuenca de Pamplona,6.0,"(42.804931, -1.6340236)"
UAT00839,Piso en Calle Estafeta,Apartamento Turístico,Tercera/1 Llave,Calle de la Estafeta 7,PAMPLONA,Cuenca de Pamplona,2.0,"(42.8182474, -1.6426199)"
UAT00630,Piso en el Corazon de Pamplona,Apartamento Turístico,Segunda/2 Llaves,Calle Navarreria 19 1º Iz,PAMPLONA,Cuenca de Pamplona,4.0,"(42.8194052, -1.6431522)"
UAT00602,Plaza Castillo 27,Apartamento Turístico,Segunda/2 Llaves,Plaza del Castillo  27,PAMPLONA,Cuenca de Pamplona,2.0,"(42.8162835, -1.643353)"
UAT00500,Plaza del Castillo,Apartamento Turístico,Tercera/1 Llave,Pozo Blanco 5 3º,PAMPLONA,Cuenca de Pamplona,4.0,"(38.3799918, -4.8494264)"
UAT00444,Plaza Príncipe de Viana 1 y 2,Apartamento Turístico,Segunda/2 Llaves,Sangüesa 2 3º,PAMPLONA,Cuenca de Pamplona,7.0,"(42.5744349, -1.2830851)"
UAT00696,Redín,Apartamento Turístico,Primera/3 Llaves,Redín 2,PAMPLONA,Cuenca de Pamplona,4.0,"(42.0416676, -72.5093212)"
UHS00927,Rodas Pamplona,Hostal,HsG,Estella 10 1º dcha,PAMPLONA,Cuenca de Pamplona,14.0,"(42.6720856, -2.0324524)"
UPE00920,Room Pamplona,Pensión,P*,Travesía Acella 3 ,PAMPLONA,Cuenca de Pamplona,7.0,"(42.8063859, -1.6633542)"
UAT01017,San Gregorio,Apartamento Turístico,Segunda/2 Llaves,Calle San Gregorio 26,PAMPLONA,Cuenca de Pamplona,4.0,"(40.5795298, -4.002831899999999)"
UAT00405,San Jorge,Apartamento Turístico,Segunda/2 Llaves,Dr. Simonena 8 6ºA,PAMPLONA,Cuenca de Pamplona,4.0,"(42.8200979, -1.668793)"
UAT00597,San Lorenzo,Apartamento Turístico,Segunda/2 Llaves,San Lorenzo 39 3º Dcha,PAMPLONA,Cuenca de Pamplona,3.0,"(42.8180445, -1.6488031)"
UH000550,Sancho Ramírez,Hotel,3 Estrellas,"Calle Sancho Ramírez, 11",PAMPLONA,Cuenca de Pamplona,153.0,"(42.8075325, -1.6644136)"
UAT00428,"Scala I, II, III, IV, V y VI",Apartamento Turístico,Primera/3 Llaves,Premin de Iruña 5,PAMPLONA,Cuenca de Pamplona,22.0,"(42.8082074, -1.6691229)"
UAT00703,Showroom de Arte e Interiorismo,Apartamento Turístico,Primera/3 Llaves,Cipriano Olaso 2 4º Dcha,PAMPLONA,Cuenca de Pamplona,4.0,"(42.8109536, -1.6312174)"
UAT00774,Soul Apartment,Apartamento Turístico,Primera/3 Llaves,Calle Navarreria  18 1º,PAMPLONA,Cuenca de Pamplona,4.0,"(42.8194947, -1.6422487)"
UH000923,Spa Pompaelo,Hotel,4 Estrellas,Plaza Consistorial 3,PAMPLONA,Cuenca de Pamplona,58.0,"(42.8179998, -1.6439475)"
UAT00550,The Estafeta View Apartment,Apartamento Turístico,Tercera/1 Llave,Calle de la Estafeta 16,PAMPLONA,Cuenca de Pamplona,3.0,"(42.8179791, -1.6427337)"
UAT00516,Trampantojo,Apartamento Turístico,Primera/3 Llaves,Calle Navarreria 13 1º,PAMPLONA,Cuenca de Pamplona,7.0,"(42.81914070000001, -1.6430005)"
UAT00560,Trave-Bayona,Apartamento Turístico,Primera/3 Llaves,Trvesia de Bayona 4 Escalera D 3 F,PAMPLONA,Cuenca de Pamplona,4.0,"(42.81411490000001, -1.6583171)"
UAT00341,Travellers Rest Pamplona,Apartamento Turístico,Tercera/1 Llave,Calle San Saturnino 20,PAMPLONA,Cuenca de Pamplona,10.0,"(42.8184418, -1.6450096)"
UAT00623,Tu sitio,Apartamento Turístico,Tercera/1 Llave,Padre Calatayud 4 4º Izda,PAMPLONA,Cuenca de Pamplona,4.0,"(42.8113563, -1.6427284)"
UAT01025,Tuapartamento Estafeta 15 1º,Apartamento Turístico,Tercera/1 Llave,Calle de la Estafeta 15,PAMPLONA,Cuenca de Pamplona,3.0,"(40.3728228, -3.6921908)"
UAT00836,TuApartamento Mercaderes 16,Apartamento Turístico,Tercera/1 Llave,Mercaderes 16 1º,PAMPLONA,Cuenca de Pamplona,6.0,"(42.81858, -1.6426673)"
UAT01109,"TuApartamento Mercaderes 9, 1º",Apartamento Turístico,Tercera/1 Llave,Mercaderes 9 1º,PAMPLONA,Cuenca de Pamplona,4.0,"(42.8184342, -1.6435397)"
UAT01010,TuApartamento Plaza de Toros,Apartamento Turístico,Tercera/1 Llave,Emilio Arrieta 11,PAMPLONA,Cuenca de Pamplona,6.0,"(42.8148384, -1.6393884)"
UAT01051,TuApartamento–Navas de Tolosa 27 1ºC,Apartamento Turístico,Tercera/1 Llave,Navas de Tolosa 27 1º C,PAMPLONA,Cuenca de Pamplona,6.0,"(42.8154203, -1.6507556)"
UAT00593,Txoko 48,Apartamento Turístico,Segunda/2 Llaves,Dormitaleria 48 1º,PAMPLONA,Cuenca de Pamplona,2.0,"(42.81832259999999, -1.6404835)"
UAT00725,Una Atalaya sobre el casco Antiguo,Apartamento Turístico,Segunda/2 Llaves,Plaza de los Burgos 1 5º Dcha,PAMPLONA,Cuenca de Pamplona,5.0,"(42.81870809999999, -1.6437009)"
UAT00581,Vistabella I,Apartamento Turístico,Tercera/1 Llave,Travesia de Echavacaiz 6 1º IZ,PAMPLONA,Cuenca de Pamplona,6.0,"(42.7988333, -1.6769801)"
UAT00572,Vistabella II,Apartamento Turístico,Tercera/1 Llave,Travesia de Echavacoiz Alto 8 1º izda,PAMPLONA,Cuenca de Pamplona,6.0,"(42.7988333, -1.6769801)"
UAT00468,Vuelta del Castillo,Apartamento Turístico,Tercera/1 Llave,Vuelta del Castillo 7 6C,PAMPLONA,Cuenca de Pamplona,6.0,"(42.808476, -1.6505293)"
UAT00648,Welcoming Apart Old Town,Apartamento Turístico,Segunda/2 Llaves,Calle Zapatería 46,PAMPLONA,Cuenca de Pamplona,4.0,"(42.8171332, -1.6445952)"
UAB00069,Xarma Hostel Aterpea,Albergue turístico,del Camino de Santiago,Baja Navarra 23,PAMPLONA,Cuenca de Pamplona,22.0,"(42.8138204, -1.6351481)"
UH000005,Yoldi,Hotel,3 Estrellas,San Ignacio 11,PAMPLONA,Cuenca de Pamplona,72.0,"(17.1575607, -89.0704563)"
UAT00664,Zona Ensanche,Apartamento Turístico,Segunda/2 Llaves,Olite 15 2º Dcha,PAMPLONA,Cuenca de Pamplona,4.0,"(42.481425, -1.6509768)"
UAT00706,Zure Etxea,Apartamento Turístico,Tercera/1 Llave,Dormitaleria 34 3º,PAMPLONA,Cuenca de Pamplona,5.0,"(42.818712, -1.6408823)"
UATR1067,Apartamentos Gebala,Apartamento Turístico Rural,Primera/3 Llaves,Plaza de los Fueros 31,ESTELLA,Zona Media,2.0,"(42.6724857, -2.030961)"
UHS00745,Area 99,Hostal,HsG,Merkatondoa  32 A,ESTELLA,Zona Media,22.0,"(42.659645, -2.0299289)"
UAT00216,Argia,Apartamento Turístico,Tercera/1 Llave,Arróniz 4 4ºA,ESTELLA,Zona Media,6.0,"(42.5894973, -2.092264)"
UAT00829,Azcárate,Apartamento Turístico,Tercera/1 Llave,Guesalaz 3 bajo Iz,ESTELLA,Zona Media,5.0,"(42.7599623, -1.9196949)"
UPE00905,Bed & Breakfast Zaldu,Pensión,P**,Pío Baroja 1,ESTELLA,Zona Media,8.0,"(40.40602490000001, -3.8999126)"
UAT00700,Belmecher,Apartamento Turístico,Segunda/2 Llaves,Calle Comercio 15,ESTELLA,Zona Media,8.0,"(43.3617009, -8.4171821)"
UPE00924,Buen Camino,Pensión,P*,Calle San Nicolás 27 ,ESTELLA,Zona Media,3.0,"(43.3715615, -8.399256)"
UAB00100,Capuchinos Rocamador,Albergue turístico,1ª del Camino de Santiago,Rocamador 6,ESTELLA,Zona Media,53.0,"(42.6663463, -2.0316757)"
UAT00871,Casa Daniela,Apartamento Turístico,Segunda/2 Llaves,Calle Calderería 11 ,ESTELLA,Zona Media,4.0,"(36.7225252, -4.420660499999999)"
UHS00384,Cristina,Hostal,HsG,Baja Navarra 1 1º,ESTELLA,Zona Media,19.0,"(42.8131929, -1.6414345)"
UAT01004,Dúplex en Calle Navarrería,Apartamento Turístico,Segunda/2 Llaves,Navarrería 8 3ºB,ESTELLA,Zona Media,4.0,"(42.8191832, -1.6428641)"
UHS00733,El Volante,Hostal,HsG,Merkatondoa 2 1º,ESTELLA,Zona Media,20.0,"(42.66368, -2.03243)"
UHS00957,Estella Rooms,Hostal,HsG,Calle San Nicolás 3,ESTELLA,Zona Media,32.0,"(40.41551210000001, -3.712196899999999)"
uat00032,Gebala,Apartamento Turístico,Primera/3 Llaves,Plaza de los Fueros 31,ESTELLA,Zona Media,8.0,"(42.6724857, -2.030961)"
UAT00440,Gure Ganbara,Apartamento Turístico,Primera/3 Llaves,Calle Mayor 26,ESTELLA,Zona Media,4.0,"(33.8080746, -118.3893682)"
UH000874,Hospedería Chapitel,Hotel,4 Estrellas,Chapitel 1,ESTELLA,Zona Media,27.0,"(42.6708333, -2.0288889)"
UPE00561,Izarra,Pensión,P*,Calle Calderería 20,ESTELLA,Zona Media,8.0,"(37.17793810000001, -3.5965656)"
UAB00121,La Hostería de Curtidores,Albergue turístico,1ª del Camino de Santiago,Curtidores 43,ESTELLA,Zona Media,45.0,"(40.4052576, -3.7066741)"
UHS00953,La Rúa,Hostal,HsG,La Rua 21,ESTELLA,Zona Media,9.0,"(9.848399599999999, -83.92730189999999)"
UATR1066,Laplaza,Apartamento Turístico Rural,Primera/3 Llaves,Plaza de los Fueros 31,ESTELLA,Zona Media,2.0,"(42.6724857, -2.030961)"
uct00009,Lizarra,Camping,4 estrellas,Ordoiz 0,ESTELLA,Zona Media,1000.0,"(42.6692304, -2.0236394)"
UAT00947,Musu,Apartamento Turístico,Segunda/2 Llaves,Juan de Labrit 5 2º,ESTELLA,Zona Media,5.0,"(42.8162749, -1.6407571)"
UAB00054,Oncineda,Albergue turístico,2ª Categoria,Monasterio de Irache 11,ESTELLA,Zona Media,104.0,"(42.664724, -2.034379)"
UAT00991,Rua 19,Apartamento Turístico,Primera/3 Llaves,Rua 19 1º Dcha,ESTELLA,Zona Media,2.0,"(38.9052279, -77.0083564)"
UH000833,Tximista,Hotel,4 Estrellas,Zaldu 15,ESTELLA,Zona Media,56.0,"(42.6786766, -2.0374243)"
UAT00600,Urederra Apartamento,Apartamento Turístico,Segunda/2 Llaves,Calle Julio Ruiz de Alda  3 C,ESTELLA,Zona Media,5.0,"(40.6745224, -4.0882194)"
UH000648,Yerri,Hotel,2 Estrellas,Yerri 35,ESTELLA,Zona Media,52.0,"(42.6768446, -2.0358159)"
UAB00091,Amalur,Albergue turístico,2ª Categoria,Cerco Viejo 3 Bajo,PUENTE LA REINA,Zona Media,20.0,"(42.6726491, -1.8176945)"
UHSR0722,Bidean,Hostal,HsRural,Calle Mayor 20,PUENTE LA REINA,Zona Media,36.0,"(33.8155478, -118.3636448)"
UATR0098,Ganbara,Apartamento Turístico,Tercera/1 Llave,Calle Mayor 86,PUENTE LA REINA,Zona Media,4.0,"(40.4152493, -3.7127001)"
UAB00044,Jakue,Albergue turístico,del Camino de Santiago,Calle Irunbidea 8,PUENTE LA REINA,Zona Media,90.0,"(42.6734751, -1.8115733)"
UATR0972,La Casica del Puente,Apartamento Turístico Rural,Segunda/2 Llaves,La Población 1 Puente Románico,PUENTE LA REINA,Zona Media,6.0,"(42.6711661, -1.8188069)"
UHSR0903,La Plaza,Hostal,HsRural,Calle Rodrigo Ximénez de Rada 39,PUENTE LA REINA,Zona Media,16.0,"(42.8310093, -1.6530158)"
UAB00087,Puente,Albergue turístico,del Camino de Santiago,Paseo De los Fueros 57,PUENTE LA REINA,Zona Media,40.0,"(43.2954388, -2.9879627)"
UVT00827,Villa Marina,Vivienda Turística,Segunda/2 Llaves,Otsabidea 10,PUENTE LA REINA,Zona Media,6.0,"(42.66975679999999, -1.8074966)"
